id	key	subsystem	case_key	description	category	args	during_sec
201	plan_flip	sql	plan_flip	DBChaos Plan Flip	SQL parsing and optimization	-duration 60000 -threads 16 -count 1000000 -interval 60000	60
202	max_connection_conn_storm	session	max_connection	DBChaos Connection Storm	connection management	-mode conn_storm -count 200 -duration 60000	60
203	max_connection_conn_exhaustion	session	max_connection	DBChaos Connection Exhaustion	connection management	-mode conn_exhaustion -count 200 -duration 60000	60
204	max_connection_thread_saturation	session	max_connection	DBChaos Thread Pool Saturation	execution engine	-mode thread_saturation -count 32 -duration 60000	60
205	uncommitted_txn	txn	uncommitted_txn	DBChaos Uncommitted Transaction Lock	transaction concurrency management	-duration 60000 -table bmsql_stock -holders 2 -rows 500	60
206	duplicate_txn_update	txn	duplicate_txn	DBChaos Hot Row Update Conflict	transaction concurrency management	-sessions 50 -duration 60 -mode UPDATE	60
207	duplicate_txn_insert	txn	duplicate_txn	DBChaos Duplicate Insert Conflict	transaction concurrency management	-sessions 50 -duration 60 -mode INSERT	60
208	stack_overflow_func_recurse	exec	stack_overflow	DBChaos Function Stack Overflow	execution engine	-mode func_recurse -duration 60000 -interval 1000	60
209	stack_overflow_proc_recurse	exec	stack_overflow	DBChaos Procedure Stack Overflow	execution engine	-mode proc_recurse -duration 60000 -interval 1000	60
210	stack_overflow_trans_recurse	exec	stack_overflow	DBChaos Transaction Stack Overflow	execution engine	-mode trans_recurse -duration 60000 -interval 1000	60
211	stack_overflow_sql_depth	sql	stack_overflow	DBChaos SQL Depth Stack Overflow	SQL parsing and optimization	-mode sql_depth -duration 60000 -interval 1000	60
212	stack_overflow_view_nest	sql	stack_overflow	DBChaos Nested View Stack Overflow	SQL parsing and optimization	-mode view_nest -duration 60000 -interval 5000	60
213	stack_overflow_join_bomb	sql	stack_overflow	DBChaos Join Search Stack Overflow	SQL parsing and optimization	-mode join_bomb -duration 60000 -interval 5000	60
214	massive_rollback	log	massive_rollback	DBChaos Massive Transaction Rollback	log and recovery	-duration 60000 -threads 16 -rate 0.7	60
215	memory_pressure	buffer	memory_pressure	DBChaos Memory Pressure	buffer management	-duration 60000 -batch 50 -threads 4	60
216	max_prepared	txn	max_prepared	DBChaos Prepared Transaction Limit	transaction concurrency management	-count 201 -duration 60 -concurrency 50	60
217	deadlock_storm	txn	deadlock_storm	DBChaos Deadlock Storm	transaction concurrency management	-duration 60000 -table bmsql_stock -anchors 2 -anchor-rows 20 -waiters 16 -hot-rows 32	60
218	mvcc_bloat	storage	mvcc_bloat	DBChaos MVCC Bloat	storage engine	-duration 120000 -anchors 1 -mutators 8 -rows 20000	60
219	read_amp_trap	exec	read_amp_trap	DBChaos Read Amplification Trap	execution engine	-duration 120000 -warmup 30000 -mutators 8 -scanners 4 -scan-mode mixed	60
